               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.025133,           0.0057511,            0.017701,             0.73795,             0.79363,              0.7902,             0.46987,            0.024429,           0.0047835,            0.016698,            0.009443,            0.009443,            0.009443
                  36,            0.024849,           0.0057496,            0.017989,             0.75015,             0.77887,              0.7931,              0.4764,            0.023537,           0.0048038,            0.016315,           0.0094106,           0.0094106,           0.0094106
                  37,            0.025002,           0.0057465,            0.017928,             0.75796,             0.76153,             0.79492,             0.47456,             0.02471,           0.0047582,            0.016365,           0.0093773,           0.0093773,           0.0093773
                  38,            0.024846,           0.0057343,            0.017425,             0.77269,              0.7655,             0.80116,             0.49446,            0.023243,           0.0047274,            0.016258,           0.0093432,           0.0093432,           0.0093432
                  39,            0.024591,           0.0056992,            0.017345,             0.74786,             0.79731,             0.80147,             0.49858,            0.022228,           0.0047835,            0.015933,           0.0093083,           0.0093083,           0.0093083
                  40,            0.024389,           0.0056654,            0.017087,             0.76798,             0.78499,             0.80686,             0.50561,            0.022091,           0.0047134,            0.015866,           0.0092726,           0.0092726,           0.0092726
                  41,            0.024205,           0.0056801,            0.016894,             0.76439,             0.78363,             0.80741,             0.51085,            0.021596,           0.0047241,            0.015737,           0.0092361,           0.0092361,           0.0092361
                  42,            0.024378,           0.0056675,            0.016937,             0.75728,             0.78309,             0.80632,             0.51087,            0.021497,           0.0047328,            0.015894,           0.0091987,           0.0091987,           0.0091987
                  43,            0.024447,           0.0056856,            0.016684,             0.75656,             0.78634,             0.80921,             0.51173,            0.021459,           0.0047775,            0.015786,           0.0091606,           0.0091606,           0.0091606
                  44,            0.024648,           0.0056808,            0.016664,              0.7542,             0.80098,             0.81066,             0.51581,            0.021379,           0.0047281,            0.015804,           0.0091217,           0.0091217,           0.0091217
                  45,            0.024217,           0.0056663,            0.016573,             0.75846,              0.7973,             0.81147,             0.51386,            0.021223,           0.0047357,            0.015783,           0.0090821,           0.0090821,           0.0090821
                  46,            0.024026,           0.0056421,            0.016484,             0.77249,             0.78651,             0.81166,             0.51758,            0.021271,           0.0047446,            0.015734,           0.0090416,           0.0090416,           0.0090416
                  47,            0.024244,           0.0056539,             0.01631,             0.76303,             0.79215,             0.81023,             0.51709,            0.021314,           0.0047622,             0.01575,           0.0090004,           0.0090004,           0.0090004
                  48,            0.024247,            0.005631,            0.016555,             0.77403,             0.78296,             0.81214,             0.51853,            0.021523,           0.0046941,            0.015704,           0.0089585,           0.0089585,           0.0089585
                  49,            0.023859,           0.0055953,            0.016171,             0.75431,             0.80587,             0.81348,             0.51911,            0.020981,           0.0047108,            0.015715,           0.0089159,           0.0089159,           0.0089159
                  50,            0.023905,           0.0056273,            0.016184,             0.75971,             0.80318,             0.81499,              0.5206,            0.021044,            0.004692,            0.015722,           0.0088725,           0.0088725,           0.0088725
                  51,            0.023913,           0.0055957,            0.015622,             0.76567,             0.80167,             0.81356,             0.52171,            0.020875,           0.0047094,            0.015709,           0.0088284,           0.0088284,           0.0088284
                  52,            0.023868,           0.0056114,              0.0156,             0.76372,             0.80412,             0.81474,             0.52362,            0.020791,           0.0046973,            0.015689,           0.0087837,           0.0087837,           0.0087837
                  53,            0.023908,            0.005599,            0.015395,             0.75506,             0.81181,             0.81543,             0.52633,            0.020704,            0.004694,            0.015711,           0.0087382,           0.0087382,           0.0087382
                  54,            0.023905,           0.0056152,            0.015499,             0.77444,             0.79192,             0.81578,             0.52684,            0.020637,            0.004687,            0.015676,           0.0086921,           0.0086921,           0.0086921
